PDB_ID,score,Resolution,pubmed_id,Assembly,method,pH,temp,pdbx_details,pdbx_pH_range,ligands,COMPOUNDS (con_unit=mM)
13MQ,0.60608633,2.02,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, VN9","['sodium maleate', '1400.0']"
13MI,0.60608633,2.08,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1AY5","['sodium maleate', '1400.0']"
13MW,0.60608633,2.1,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CUL","['sodium maleate', '1400.0']"
13MS,0.60608633,2.18,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CUE","['sodium maleate', '1400.0']"
13MN,0.60608633,2.35,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CT2","['sodium maleate', '1400.0']"
13MR,0.60608633,2.08,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CUD","['sodium maleate', '1400.0']"
13MX,0.60608633,2.02,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CUM","['sodium maleate', '1400.0']"
13NL,0.60608633,2.13,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CUW","['sodium maleate', '1400.0']"
13NM,0.60608633,2.4,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CUX","['sodium maleate', '1400.0']"
13NF,0.60608633,2.06,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CUV","['sodium maleate', '1400.0']"
13NK,0.60608633,2.23,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1JBC, MLI","['sodium maleate', '1400.0']"
13ND,0.60608633,2.03,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CUU","['sodium maleate', '1400.0']"
13NN,0.60608633,2.59,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, W1P","['sodium maleate', '1400.0']"
13NR,0.60608633,2.08,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CU2","['sodium maleate', '1400.0']"
13NO,0.60608633,2.61,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, A1CUY","['sodium maleate', '1400.0']"
13NS,0.60608633,2.03,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CU4","['sodium maleate', '1400.0']"
13NU,0.60608633,1.97,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CU6","['sodium maleate', '1400.0']"
13NT,0.60608633,2.05,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CU5","['sodium maleate', '1400.0']"
13OH,0.60608633,2.19,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1CVE","['sodium maleate', '1400.0']"
13OJ,0.60608633,2.41,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"ZN, MLI, A1EM9","['sodium maleate', '1400.0']"
13ON,0.60608633,2.18,41638277.0,monomeric,"'VAPOR DIFFUSION, SITTING DROP'",6.0,291.0,'1.4 M Sodium Maleate pH 6.0',,"MLI, A1CVK, ZN","['sodium maleate', '1400.0']"
